area_sqft,bedrooms,bathrooms,balconies,location,age_years,parking,furnishing,floor,total_floors,distance_city_km,price_lakhs
1543,4,4,2.0,Worli,22,1.0,Semi-Furnished,2,9,26.6,26.01
3434,3,3,3.0,Pune,27,1.0,Semi-Furnished,6,18,14.9,10.0
527,2,2,1.0,Powai,4,0.0,Unfurnished,25,29,9.5,10.49
2007,3,3,1.0,Dadar,7,0.0,Furnished,2,22,3.8,16.93
3284,1,1,2.0,Bandra,1,1.0,Unfurnished,1,11,4.5,11.93
3831,3,3,1.0,Nashik,15,0.0,Unfurnished,6,21,38.4,10.0
1305,3,3,2.0,Dadar,15,1.0,Unfurnished,18,30,31.6,16.9
2743,2,2,0.0,Worli,0,2.0,Furnished,8,9,10.2,29.58
1083,1,1,0.0,Andheri,20,0.0,Furnished,5,8,21.4,10.0
817,3,3,1.0,Pune,0,1.0,Semi-Furnished,1,3,28.7,11.14
1671,2,2,0.0,Pune,24,1.0,Furnished,23,26,14.4,10.0
3587,4,4,3.0,Powai,21,1.0,Unfurnished,4,26,17.9,21.89
2882,3,3,0.0,Borivali,25,0.0,Furnished,12,13,28.9,10.0
2161,3,3,2.0,Worli,3,0.0,Unfurnished,8,27,9.5,19.95
1418,2,2,1.0,Pune,26,2.0,Semi-Furnished,5,20,21.3,10.0
910,3,3,3.0,Andheri,16,0.0,Unfurnished,29,30,8.8,12.69
1375,4,4,1.0,Navi Mumbai,26,1.0,Furnished,18,28,0.6,16.96
949,1,1,0.0,Bandra,21,1.0,Furnished,12,29,27.8,10.0
1073,2,2,0.0,Worli,20,0.0,Semi-Furnished,4,13,28.4,10.0
2875,2,2,1.0,Borivali,0,1.0,Unfurnished,9,20,39.8,10.0
877,2,3,3.0,Dadar,21,0.0,Unfurnished,5,6,7.7,10.37
570,3,4,3.0,Thane,13,0.0,Semi-Furnished,4,27,29.7,10.0
2352,3,4,1.0,Nashik,26,1.0,Unfurnished,2,11,37.9,10.0
1432,3,3,1.0,Powai,21,2.0,Unfurnished,4,14,26.0,18.82
2037,2,2,0.0,Worli,2,0.0,Semi-Furnished,9,19,38.5,12.13
903,2,2,1.0,Andheri,27,0.0,Semi-Furnished,20,24,39.8,10.0
1156,2,2,1.0,Pune,1,2.0,Furnished,5,23,32.2,10.83
